              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name:  
Subject No:  
Date of Birth:  
Subject Address:  
Operator:   
Date: 11:05:31 (30/4/2012) 
DRT4 Serial Number: #3021 
Comment:  
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   8/sec 
Time Constant: off 
Time Offset: 0.062 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
1	0	0	0.000	  0.0	 30.6 
2	0	0	0.125	  0.0	 27.6 
284	0	0	35.375	  0.0	  9.0 
285	0	0	35.500	  0.0	  9.6 
286	0	0	35.625	  0.0	 10.0 
287	0	0	35.750	  0.0	 12.3 
288	0	0	35.875	  0.0	 12.1 
289	0	0	36.000	  0.0	 11.3 
290	0	0	36.125	  0.0	 10.5 
291	0	0	36.250	  0.0	  9.7 
292	0	0	36.375	  0.0	  9.3 
293	0	0	36.500	  0.0	 10.7 
294	0	0	36.625	  0.0	 14.1 
295	0	0	36.750	  0.0	 12.8 
296	0	0	36.875	  0.0	 19.4 
297	0	0	37.000	  0.0	 18.7 
298	0	0	37.125	  0.0	 19.5 
299	0	0	37.250	  0.0	 15.3 
300	0	0	37.375	  0.0	 12.7 
301	0	0	37.500	  0.0	 13.9 
302	0	0	37.625	  0.0	 14.9 
303	0	0	37.750	  0.0	 15.0 
304	0	0	37.875	  0.0	 14.6 
305	0	0	38.000	  0.0	 14.5 
306	0	0	38.125	  0.0	 11.3 
307	0	0	38.250	  0.0	  9.4 
308	0	0	38.375	  0.0	 10.8 
309	0	0	38.500	  0.0	 14.2 
310	0	0	38.625	  0.0	 15.0 
311	0	0	38.750	  0.0	 14.2 
312	0	0	38.875	  0.0	 13.0 
313	0	0	39.000	  0.0	 11.1 
314	0	0	39.125	  0.0	 11.0 
315	0	0	39.250	  0.0	 10.3 
316	0	0	39.375	  0.0	 11.5 
317	0	0	39.500	  0.0	 13.5 
318	0	0	39.625	  0.0	 17.2 
319	0	0	39.750	  0.0	 15.8 
320	0	0	39.875	  0.0	 12.8 
321	0	0	40.000	  0.0	 11.7 
322	0	0	40.125	  0.0	 11.3 
323	0	0	40.250	  0.0	 12.6 
324	0	0	40.375	  0.0	 11.3 
325	0	0	40.500	  0.0	 10.2 
326	0	0	40.625	  0.0	 11.6 
327	0	0	40.750	  0.0	 12.9 
328	0	0	40.875	  0.0	 14.4 
329	0	0	41.000	  0.0	 13.6 
330	0	0	41.125	  0.0	 13.3 
331	0	0	41.250	  0.0	 11.6 
332	0	0	41.375	  0.0	 10.2 
333	0	0	41.500	  0.0	 11.1 
334	0	0	41.625	  0.0	 11.3 
335	0	0	41.750	  0.0	 13.2 
336	0	0	41.875	  0.0	 15.6 
337	0	0	42.000	  0.0	 15.5 
338	0	0	42.125	  0.0	 14.2 
339	0	0	42.250	  0.0	 13.4 
340	0	0	42.375	  0.0	 12.5 
341	0	0	42.500	  0.0	 10.6 
342	0	0	42.625	  0.0	 10.7 
343	0	0	42.750	  0.0	 11.4 
344	0	0	42.875	  0.0	 15.0 
345	0	0	43.000	  0.0	 16.5 
346	0	0	43.125	  0.0	 21.3 
347	0	0	43.250	  0.0	 21.5 
348	0	0	43.375	  0.0	 21.2 
349	0	0	43.500	  0.0	 15.9 
350	0	0	43.625	  0.0	 13.7 
351	0	0	43.750	  0.0	 12.3 
352	0	0	43.875	  0.0	 17.0 
353	0	0	44.000	  0.0	 24.1 
354	0	0	44.125	  0.0	 51.9 
355	0	0	44.250	  0.0	 48.3 
356	0	0	44.375	  0.0	 51.1 
357	0	0	44.500	  0.0	 42.6 
358	0	0	44.625	  0.0	 28.4 
359	0	0	44.750	  0.0	 21.1 
360	0	0	44.875	  0.0	 20.6 
361	0	0	45.000	  0.0	 22.7 
362	0	0	45.125	  0.0	 21.8 
363	0	0	45.250	  0.0	 20.0 
364	0	0	45.375	  0.0	 16.2 
365	0	0	45.500	  0.0	 14.0 
366	0	0	45.625	  0.0	 12.8 
367	0	0	45.750	  0.0	 13.1 
368	0	0	45.875	  0.0	 13.2 
369	0	0	46.000	  0.0	 12.7 
370	0	0	46.125	  0.0	 15.3 
371	0	0	46.250	  0.0	 20.8 
372	0	0	46.375	  0.0	 23.7 
373	0	0	46.500	  0.0	 21.8 
374	0	0	46.625	  0.0	 18.8 
375	0	0	46.750	  0.0	 16.7 
376	0	0	46.875	  0.0	 14.3 
377	0	0	47.000	  0.0	 15.7 
